"SKU","DESCRIPTION","SKU_FAMILY","BOX_CODE"
"7F197","SI,USBRCVY,WALLAC,8GB,PANTHERA","Miscellaneous",""
"RX34R","KIT,ACC,MICRO,SD,1GB,7.0.2","Memory","GKCMD"
"9H929","ASSY,BASE,DIS,S2421HGF,KOR","FPD",""
"0K340","ASSY,CBL,CNTL,SWT,MT,3010","Cable","Envelope"
"MT24M","ASSY,KYBD,101,ARA,W/FR,NBLT","Keyboard/Mouse",""
"FK93F","TRAY,OPT,HC,FEEDER,B546X","Mechanical",""
"58405","ASSY,BASE,PTR,948,AIO,EMEA-EDB","Base Unit",""
"T779T","ASSY,BTN,FP,APOLLO,CBGH","Mechanical",""
"9G259","ASSY,CVR,LCD,STCH-BLK,PHTM MLK","HUD",""
"66886","CRD,NTWK,ISA,ELINK III,3C509","Network Card",""
"NK83N","CUS,SW,OFCHS-2013,LATAM","SW",""
"NN55N","PWA,DTRBD,LED,NBK,E5410/E5510","DB","GKCMD"
"44144","KIT,ENCL,SGL,AX100,ISCSI,DELL","Mechanical",""
"25212","MOD,SW,OFCHS-2K7,ANW,TCHI","SW",""
"VF52V","ASSY,SHRD,PLSTC,PRC,V2,R515","Mechanical",""
"3N393","ASSY,HUB,SCTY APPE,NSA2650,HA","Router",""
"3F293","SUBASSY,HD,160G,7.2,F080,HEP","HDD",""
"DJ38D","SSDR,128G,S3,7,LITEON,V2S,BCC","SSDR","GKCMD"
"3K263","INVRTR,LCD,ONE,1909","Mechanical",""
"86768","MOD,SW,WXPPSP2,LAT,IPOR,NDD,EM","SW",""
"WH49W","KYBD,ANW,102,DUT,EMF,M17XR4","Keyboard/Mouse","1W217"
"WJ88W","ASSY,DOOR,BTM,WW,5560","Mechanical","4U500B"
"0W640","ASSY,CVR,SVC,IR,WLA,NTCH,7530","Cover","4U500B"
"G717G","ASSY,CRD,CNTL PNL,PET620","Control Panel",""
"4W444","ASSY,PLMRST,SNF,NTC,FR,BL,C","Palmrest","4U500B"
"H626H","ASSY,LCD,HUD,NGSYNC,60,NTB,BL","HUD","4U500"
"J781J","DIS,FPL,18.5,D1920,CCC","FPD",""
"7F857","ASSY,PLMRST,BBY,FRENGBI,GE,ORG","Palmrest",""
"2G282","INSTR,BADGE-TO-MSMT-L6,760","Miscellaneous",""
"RM71R","SVC,DOC/DSK/HW,CP/CPI","Miscellaneous",""
"41564","ASSY,CVR,BTM,BLK,N15WKA1","Cover","4U500B"
"C544C","KYBD,84,TURK,EMD5","Keyboard/Mouse",""
"JV22J","SVC,PLN,R810,V1.1","Motherboards","4U500"
"79167","OVKT,3R2E,ACAD,ENG","Miscellaneous",""
"4D644","ASSY,CBL,PWR,TB,DR,PV130T","Cable","Envelope"
"2C872","KIT,MSE/KYBD,WRLES,SPN,T1","Keyboard/Mouse","1W217"
"V385V","ASSY,BRKT,HD,2.5,CADDY,MT,D7","Mechanical","Envelope"
"88608","MOD,HD,750G,S2,#2,SGT-MOOSE","HDD",""
"8F128","ASSY,PWA,PLN,I5-1135G7,16,512","Motherboards","4U500"
"R170R","ASSY,HTSNK,NBK,W/F,D,MAPLE14","Heatsink","1W217"
"72117","ASSY,TRAY,DX,OPT,3100CN","Mechanical",""
"2X382","ASSY,PWA,PLN,CELXXXXX,U,2SPBCC","Motherboards",""
"11251","ASSY,CDRW/DVD,SATA,TSST,MCSF","Miscellaneous","Envelope"
"01920","CVR,SCR,PLSTC,NBK,LIKA","Cover","4U500B"
"27142","DIS,FPL,22,AW2210,KOR,RTL","FPD",""
"96559","CRD,WRLES,INTEL6230,WW","Card","D237D"
"78807","MOD,MDM,DFAX,CHER,DIM,KOR","Miscellaneous",""
"G345G","ASSY,BRKT,HDD,ANW,M14X","Mechanical","Envelope"
"5V825","SVC,PWA,U,I5-3337U,5523,W8H","Motherboards",""
"67466","KIT,SW,OFCPRO-2K3,OEM,DUT","SW",""
"22672","CUS,ADPT,AC,90W,DELTA,ARG,BCC","Adapter",""
"XY41X","ASSY,PWA,DTRBD,W/FPR,5568","DB",""
"4G164","MOD,CRD,GRPHC,OUGA6,LP,O,DVI","Card",""
"11201","GDE,OWNR,630M,TCHI","Mechanical",""
"PW89P","KYBD,109,USB,JPN,NMB,MG","Keyboard/Mouse",""
"1T861","BTN,PWR,NBL,TITAN,N5620/5","Mechanical",""
"67406","BRKT,RACK,ANGLED,SDS100","Mechanical",""
"19921","MOD,MDM,MDC,HMS,D410,ULD,CCC","Miscellaneous",""
"19961","SI,CP352,KYBD,TCO,UK","Keyboard/Mouse",""
"45234","KIT,DOC/CDSK,ENET,INTEL,V10.0","Miscellaneous",""
"88988","KIT,DOC,W2607C,DAO","Miscellaneous",""
"67726","LBL,LOGO,CD ROM,20X","Miscellaneous",""
"JX71J","STND,ART,MYS,5477","Miscellaneous",""
"14501","CON,KEY,FEMALE,.1 HEADER","Mechanical",""
"3X293","SVC,DIMM,64,66M,8X64,4K,INSP","Memory",""
"4J534","BMPR,SPRT,BTM,SCR,LF,RBR,910","Mechanical",""
"14961","MOD,MDM,CHER,LPF,OPPLX,SWI","Miscellaneous",""
"W212W","ASSY,CVR,BK,LED,CMRA,LATON,E43","Cover","4U500B"
"1D971","KIT,SW,PDVD,7.0,DVD,7.0-02","SW","Envelope"
"JG83J","CBL,I/O,HDMI2HDMI,M/M,2M,1.4A","Cable","Envelope"
"67426","ASSY,BRKT,MTG,PCI FAN,PE840","Mechanical","Envelope"
"5H895","MOD,SSDR,128,S3,#2,7MM,FDE,M3S","SSDR",""
"8R848","ASSY,LCD,13.4HDF,W/CMRA,SRVC","HUD",""
"NN55N","ASSY,MECH,T2RK,VGAM,T630","Mechanical","Envelope"
"2G352","PNL,FILLER,PWR SPLY","Mechanical",""
"2D372","PWR SPLY,1KW,UPC,HPRO,EPA,SLVR","PWR SPLY","9U307"
"TC98T","SSDR,15.36TB,SAS12,2.5,RI,SMSG","SSDR","GKCMD"
"0D880","KYBD,105,CAN-MU,MM,CMRCL,LOGI","Keyboard/Mouse",""
"G722G","ASSY,BASE,DIS,P2219H,EMEA","FPD",""
"H480H","MOD,MDM,MBLBB,DW5540,LAT,SIN","Miscellaneous",""
"25532","CUS,DVD+/-RW,SONY,INSP-D","Miscellaneous",""
"71107","KYBD,89,BRAZ,D-PTG,BLK","Keyboard/Mouse",""
"JV20J","MOD,SW,COA,W7P32/64,ACDMC,FR","SW",""
"04970","MOD,BZL,LCD,BLK,15.4,W/CMRA","LCD",""
"8M188","KIT,DOC/CDSK,HIT,PSXXXXX","Miscellaneous",""
"33473","KYBD,105,USB,BULG,NTRY,NMB","Keyboard/Mouse",""
"J533J","MOD,LBL,RSS,ROBERTS,FCG58","Miscellaneous",""
"HT82H","CRD,GRPHC,AMD,R9,270","Card",""
"48944","KIT,SW,OVPK,VHP32,DVD,FIN","SW","Envelope"
"02370","KYBD,103,DAN,C14N","Keyboard/Mouse",""
"92519","SHP MTL,BOX,KYBD,NBK","Miscellaneous",""
"52435","CON,RJ45,8,R,F,FS,TH","Mechanical",""
"FR57F","ASSY,BZL,FRT,SLTW,260S","Plastics","4U500"
"4H814","LCD,14.1WXGA,VESA,LED,AUO","LCD","4U500"
"CH45C","ASSY,CBL,STAIRWAY,3333/3335","Cable",""
"FY73F","ASSY,CBL,INT,USB,MB,PNL,T620","Cable","Envelope"
"2H482","ASSY,CBL,FFC,MB-KYBD,SL 15","Cable","Envelope"
"9M249","FGA,XPS LPT L412Z,BTS","Base Unit",""
"HG73H","SVC,PRC,SKL,I56600K,3.5,95W,6M","PRC",""
"77397","CBL,I/O,SAS,.6METER,J23","Cable",""
"VY26V","KIT,MSE/KYBD,ITL,KM636-B,L,EP","Keyboard/Mouse","1W217"
"2Y432","ASSY,KYBD,W/PLMRST,US,ENG,3148","Keyboard/Mouse","4U500B"
"D325D","KYBD,105,BEL,KB216AW-B,LTON","Keyboard/Mouse",""
"76467","ASSY,CVR,LCD,UPSELL,BLK,SPEAR","HUD","4U500"
"32503","SI,967718,IMG,WXP,GX620,BCC","Miscellaneous",""
"8T728","MOD,INFO,SLS,LOM,ONBD","Miscellaneous",""
"NK98N","SVC,PLN,DTP,I755U,8,N,9343,W8P","Motherboards",""
"P943P","KYBD,83,TURK,M14ISU","Keyboard/Mouse",""
"K478K","MOD,INFO,VIDEO,INTEL,GMA,3150","Miscellaneous",""
"86668","PLMRST,PLSTC,ASLVR,SPEARS","Palmrest",""
"XF41X","ASSY,BASE,DIS,P3421WM,EMEA,CR","FPD",""
"R443R","SHRD,KB,TRIM,PLSTC,CCC,M4800","Mechanical",""
"64536","CRD,GRPHC,256,7800,GTX,UHMGA13","Card","D237D"
"37313","ADPT,SFP,O/SW,FC2-SWT,MDTA","Adapter","02087_A07"
"10341","ASSY,PWA,PLN,INTG,1100","Motherboards",""
"4M474","DIS,23,CG72%,SR2320L,MEX,RTL","FPD",""
"78557","ASSY,CBL,FLEX,XGA LCD,DATA","Cable","Envelope"
"36643","MOD,PWR SPLY,RDNT,Y-CORD,2900","Miscellaneous",""
"CD87C","SVC,PLN,DTP,I74500,8,S,9Q33W8H","Motherboards",""
"CV54C","ASSY,BASE,DIS, SE2219H,ICC","FPD",""
"32873","MOD,SW,WXPPSP2,MPWS,HUN,NDD,EM","SW",""
"R264R","SVC,PWA,I53437,4HT,W8H,L322H","Motherboards",""
"9H179","KYBD,66,UK,S-PTG,QH,WIN","Keyboard/Mouse","D237D"
"3V793","BASE,TBLT,3G,32G,UMTS,US,LG7","Base Unit",""
"T773T","ASSY,PLMRST,74,7310","Palmrest","4U500B"
"C072C","KYBD,104,USEU,IN,KB216-W,PMX,R","Keyboard/Mouse","1W217"
"65966","KIT,RAIL,RACK,PV7XXN","Mechanical",""
"NT66N","MOD,CHAS,23,AIO,W/O AV,A","Mechanical",""
"80278","ASSY,CBL,FAN,8PIN,P6800","Cable","Envelope"
"2F362","PWR SPLY,2400W,AC,IO/PS,DLTA","PWR SPLY",""
"93729","SI,CRD,HBA,LP10000,M2,SCHANNEL","Card",""
"M344M","ASSY,KYBD,101,KOR,M16NXC-UBS","Keyboard/Mouse",""
"KY63K","DIMM,8G,1600,512X64,8,240,2RX8","Memory","GKCMD"
"59825","CORD,PWR,250V,2.5A,2PIN,C7,ANZ","Cable","Envelope"
"74897","ASSY,CHAS,170L,TJD,L6,Y6330BCC","Mechanical",""
"HX20H","BDG,L322X,CHINA","Miscellaneous",""
"8T338","FGA,INSP LPT 5523,BTS","Base Unit",""
"27312","SVC,SCR,FDR,KIT","Mechanical",""
"DD61D","ASSY,CBL,I/O,ANLG,VGA,1.5MTR","Cable","Envelope"
"77737","SVC,LCD,SCPTR,DVC,TT3101,GRY","LCD",""
"80918","CUS,CDRW,48X,HLDS,OPTI,05","Miscellaneous",""
"XM68X","ASSY,CBL,LCD,LVDS,TSP,N7110","Cable",""
"1J621","ASSY,KYBD,100,C/S,BL,3520#","Keyboard/Mouse",""
"T817T","SVC,CRD,PLN,AIO,MB,20,2020","Motherboards",""
"1P481","KYBD,88,LAC,CS","Keyboard/Mouse",""
"M819M","KIT,MSE/KYBD,RUS,KM5221W,R,P","Keyboard/Mouse","1W217"
"VV76V","BRKT,EDP LOCK,3310V","Mechanical",""
"1P611","KYBD,88,TUR,CS","Keyboard/Mouse",""
"12971","ASSY,PWA,TPM,I711390,U,8,BCC,I","Motherboards","4U500"
"8V278","KYBD,82,POR,M18ISC-BS,WB","Keyboard/Mouse","1W217"
"0U610","ASSY,LTCH,CP/CPI,CLP,FPC","Mechanical",""
"K368K","KYBD,ANW,101,FR-CAN,AV MLK","Keyboard/Mouse","1W217"
"PR36P","ASSY,XCVR,Q28DD,200G,80G,2SR4","Adapter",""
"3X523","KIT,SW,LKEY,VDCPY,MDXXXX,ROW","SW",""
"80208","MOD,INFO,UPG,QXNAP OFH,1 YR","Miscellaneous",""
"XR77X","ASSY,BASE,16/4,7010,EX,IW,7,EN","Base Unit",""
"0H900","MOD,SW,VHP64SP1,CDT,ENG,D/B","SW",""
"86218","MOD,MDM,CHER2,LPF,OPTI,ULD,HOL","Miscellaneous",""
"RV78R","SVC,PWA,PLN,DIS,M5110","Motherboards",""
"8J378","HNG,LEFT,L,7577/5587","Miscellaneous","Envelope"
"08600","MOD,SW,WXPPSP2,PWS,SPN,NDD,EMF","SW",""
"70207","MOD,CDSK,PTCD,LAT,D531","Miscellaneous",""
"47324","CUS,CBL,INTFC,SCSI,RAID,SC1420","Cable",""
"83278","PWA,PLN,GX240,OPPLX,RSR,FXCN","Motherboards",""
"1P261","KYBD,87,FR/CAN,CS","Keyboard/Mouse",""
"39173","MOD,DVD+RW,8X,IDE,SFX,NEC,TKB","Miscellaneous",""
"H272H","KYBD,81,TCHI,M18ISF-BPS,WB","Keyboard/Mouse","1W217"
"JD96J","SVC,PLN,H,I3-7100U,U,KB,W8H","Motherboards",""
"XN19X","CUS,SW,ZNAS,BASE","SW",""
"D790D","ASSY,HTSNK,NBK,3153","Heatsink","1W217"
"YD86Y","SSDR,1.6T,2N,IS12,2.5,T-4WI,EC","SSDR","GKCMD"
"2P132","DIS,MSCN,CLR,17,D,M770MM,US","FPD",""
"G467G","ASSY,BASE,DIS,S2722DGMI,CCC4","FPD",""
"4R114","ASSY,CVR,LWR,ALX,SHD,RT,A51","Cover",""
"8E538","CBL,DATA,20P,FL,FDBP,P43/P63","Cable",""
"N454N","CORD,PWR,250V,10A,6F,C15,AUS","Cable","Envelope"
"51705","SI,171257,IMG,WXP,INTL,ECC","Miscellaneous",""
"2V882","CRD,GRPHC,1G,OUGA9,FH,2,W8","Card","D237D"
"K947K","ASSY,CBL,PWR,MLB,PIB,1.2,R840","Cable","Envelope"
"09850","CRD,MEM,PDA,128MB,SDIG,CLEM","Memory",""
"46434","SI,CUS,713112,CDRST,BCC","Miscellaneous",""
"K564K","PRC,5218R,2.1G,27.5MB,CLX,B1","PRC",""
"15161","SUBASSY,HD,40G,5.4,T060,6400","HDD",""
"D486D","DIS,FPL,23.8,U2414H,WOST,CCC","FPD",""
"92639","SVC,PRC,B800,1.5,SNB,2C,Q0,P","PRC",""
"W093W","ASSY,HUB,11AC-2,OTDR,T610,WW","Router",""
"48224","SVC,LCD,13.3,HDF,LED,N311Z,2","LCD",""
"FN94F","SVC,ASSY,CVR,LCD,14.1,SMSNG,C2","Cover",""
"WR97W","ASSY,KYBD,PMST,GR,SBL,ARA,N5","Keyboard/Mouse",""
"DV31D","BTRY,PRI,38WHR,2C,3YWR,SMP","Battery","1W217"
"5D585","ASSY,PLMRST,FPDP/SC/USH, N/NFC","Palmrest","4U500B"
"5Y265","SSDR,1.6T,2N,IT06,T-HK4MU,EC","SSDR","GKCMD"
"70647","BZL,PLSTC,LCD,YELLOW,C/S,NCMRA","Plastics","4U500B"
"H561H","ASSY,CBL,AIR DUCT,24V,IMDT,XE","Cable","Envelope"
"98109","SI,CRD,NTWK,PCIE,QUADPT,INTEL","Card",""
"3N983","ASSY,CHAS,ST,DUAL,545S,NPFC,L6","Mechanical",""
"44384","MOD,SW,RHEL,3ASU4,EM64T,ORCL,E","SW",""
"W232W","ASSY,PLMRST,TC,GRAY,HEB,BL","Palmrest",""
"2H272","MOD,LKEY,EN4.0,2CPU,1,ENG","Miscellaneous",""
"HF43H","CUS,SW,OFCHB2010,FT,SPN,ANW,BC","SW",""
"P635P","BASE,KSSF,OPTI,XE","Base Unit",""
"90869","DIS,FPL,23,ST2310WAF,CCC","FPD",""
"KF74K","KIT,MECH,PAPERTRAY,A4,E51X","Mechanical",""
"XR31X","ASSY,BASE,DIS,P3421W,CCC4","FPD",""
"9R249","ASSY,PWR SPLY,NON-RDNT,250W","PWR SPLY",""
"Y438Y","MOD,SW,DDPA,2.3.2,LAT","SW",""
"13421","MOD,SW,3UDSS,X64,INSTL,EMC,ENG","SW",""
"Y383Y","CRD,CNTL PNL,SPEAKER,S5840","Control Panel",""
"KK60K","MOD,MDM,MBB,DW5550,VODA,SA","Miscellaneous",""
"R587R","SHIP,AERO,DAO-OL,ENG,GRAY,002","Miscellaneous",""
"1J171","ASSY,PWA,PLN,I7-8565,2,BN,M150","Motherboards","4U500"
"49894","ASSY,BRKT,MET,SWT,PWRCNT6XXX,R","Mechanical",""
"W412W","KIT,MSE,WRLES,LN,APAC,WM527","Keyboard/Mouse","Envelope"
"YR43Y","SWT BOX,IO/PS,S4148T,TAA-DAO","PWR CNT",""
"04370","SVC,PWA,I5-4200U,1G,OAKH17,W8P","Motherboards",""
"1N181","ASSY,BASE,PTR,SVC,P513W,CCC","Base Unit",""
"96279","FGA PROXY,PH42A3B,BTO","Base Unit",""
"96659","LCD,TFT,SVGA,12.1'',LM,SMSNG","LCD",""
"29652","CUS,DIMM,8GB,DDR,256X72,BCC","Memory",""
"HG45H","MOD,CRD,NTWK,1505,HH,BIZ,US","Card",""
"J596J","ASSY,XCVR,SFP+,10G,ITU-CHAN52","Adapter",""
"80598","ASSY,HUB,WIAP115,802.11N,US,F1","Router",""
"76167","ASSY,BASE,DIS,CRYSTAL,JPN","FPD",""
"63976","PWA,PLN,GX270,TJD,EPI,FG019BCC","Motherboards",""
"5R405","BRKT,ADPT,RACK-KIT,P6300,LT","Mechanical",""
"75917","ASSY,PWA,PLN,I56200U,4G,MPLSKL","Motherboards","4U500"
"9J889","MOD,INFO,RAID1,2HD,M4600/M6600","Miscellaneous",""
"5H355","KYBD,102,HUN,S11N","Keyboard/Mouse",""
"F468F","KIT,MEDIA,DVD,RDVD,JANUS AMD","Miscellaneous",""
"0P420","ASSY,PWA,FP,CBL,BRKT,3478","Motherboards",""
"1J291","ASSY,CBL,FLEX-BAY,XPS,435T","Cable",""
"52485","SI,DVD+RW,16X/8X/16,I,D,SONY","Card",""
"DN18D","PWA,DTRBD,LCD,DR,5414","DB","GKCMD"
"JC55J","ASSY,BASE,DIS,E2418HN,JPN,VGA","FPD",""
"35283","CUS,DVD,I,8X,HLDS,SFF,RKLS","Miscellaneous",""
"K998K","ASSY,PLMRST,SNF,TC,HEB,NBL","Palmrest",""
"N782N","ASSY,FAN,40X40,12V,DELTA,R620","FAN","02087_A07"
"8F658","KYBD,105,LTN,QK,LTON","Keyboard/Mouse",""
"5C595","MOD,DOC,AIRBRN,2-DAY,MJR,ACCT","Miscellaneous",""
"0K580","ASSY,LCD,TCH,LG,TPK,WHT,PAIO","HUD",""
"RF54R","LCD,23W,WLED,LM230WF5-TLD,LGDS","LCD",""
"W166W","KIT,MSE/KYBD,LTN,KM5221,P,W","Keyboard/Mouse",""
"62696","SVC,PRC,E2140,1.6,1MB,PCO,M0","PRC","GKCMD"
"TH28T","SVC,PRM,CEL-CUM,450,128K,B0","PRC",""
"G963G","SSDR,1.6TB,IS12,2.5,T-4MU,EP","SSDR",""
"18331","TB,110GB,FH,NN,EXT,SDLT,V3","TBU",""
"84418","KIT,DSK,FLASH,BIOS,F3,C400","SW",""
"61436","ASSY,TRAY,MB,QTA,533,V2","Mechanical",""
"6W556","PWA,PLN,TPM,D,VI5-114,T,356,VN","Motherboards","4U500"
"KY35K","SHP MTL,CORR,ACC,INSP15","Miscellaneous",""
"RX62R","ASSY,KYBD,82,BRAZ,GOLD,7359","Keyboard/Mouse",""
"8R878","ASSY,PWA,PLN,SU9600,4,TPM,Z600","Motherboards",""
"1X981","KIT,PTR,MAINT,100V,200K,B3460","Miscellaneous",""
"Y442Y","KIT,SW,W7P32SP1,KOR","SW","Envelope"
"85788","ASSY,CVR,LCD,BLUE,N7110,RTL,E","HUD","4U500"
"WX59W","KIT,CVR,LCD,BLK,WLAN,1550","HUD",""
"10431","SERV,EXTD,1YR,INSP","Mechanical",""
"0J320","CRD,GRPHC,NV,TITAN","Card","D237D"
"K579K","MOD,SW,DSO,30GB-PAY,2.0,CRRS","SW",""
"VN18V","BTRY,PRI,51WHR,4C,LGC,V2","Battery","1W217"
"MV10M","SI,KIT,PERC6,DIB","Miscellaneous",""
"8G298","CDRW/DVD,48X,SATA,HH,TSST,BLK","Miscellaneous",""
"39143","OVKT,3R2SBP,KOR","Miscellaneous",""
"99129","SI,MO,NEW,1.3G,ATAPI,MCM3130AP","Miscellaneous",""
"V325V","DIS,FPL,19,E1910F,BLK,CCC","FPD",""
"FH54F","CUS,SW,OFCPRO-2013,ASIA","SW",""
"11771","KIT,MEDIA,DVD,RDVD,PWS-T3400","Miscellaneous",""
"HP94H","LENS,CVR,FPR,SVC,1210S/1410X","Miscellaneous",""
"71347","CBL,TEMP SENSOR,NUCLEON","Cable","Envelope"
"53445","MOD,DIMM,16GB,2R,667,4X4G,8K,D","Memory",""
"2H952","KIT,CASE,ARM-BAND,BLACK,MP3,K2","Mechanical",""
"30683","PRC,CML-S,G5900T,3.2G,35W,2C","PRC","GKCMD"
"XF68X","ASSY,BASE,DIS,S2318H,JPN","FPD",""
"12531","ASSY,ENCL,BAY,FAN,P2900","Mechanical",""
"09600","MOD,SW,WXPP,FR,M50,CDWD,EMEA","SW",""
"H066H","BTRY,PRI,56WHR,4C,LITH,SANYO","Battery","1W217"
"XN78X","CRD,WRLES,KILLER,N1435,USA","Card","D237D"
"3N753","PWA,PLN,UMA,SU2300,V13","Motherboards",""
"KW29K","DIS,FPL,23.8,U2414H,WOST,D,ES7","FPD",""
"KH49K","HD,2T,NL6,7.2K,3.5,H-MK,E/C","HDD","H1053"
"W013W","MOD,INFO,CFG 5-57,3500","Miscellaneous",""
"JR56J","ASSY,PLMRST,DUNE,TC,US,ENG,BL","Palmrest",""
"G882G","SI,HD,FDE,SEAGART,ST9500421AS","HDD",""
"3N483","SCR,M2X3.2,WTRSTN,SVC","Mechanical","Envelope"
"HX82H","ASSY,PWA,DTRBD,PWR BTN,CHELSEA","DB","GKCMD"
"2N412","ASSY,CBL,INTFC,MB,ODD,R210","Cable","Envelope"
"7J987","SVC,PWA,PLN,UMA,WO/WWAN,910","Motherboards",""
"73687","HD,250G,S2,7.2K,8M,ULD,MXT-SAB","HDD",""
"H071H","KIT,MSE,WRLES,AP,MS3320W,L,G","Keyboard/Mouse","Envelope"
"J928J","SVC,PLN,DTP,QHD,FIPS,M4800,W8H","Motherboards",""
"29732","KIT,SW,APPL,PSPS,1.01,GER,DUT","SW",""
"KJ45K","CRD,WRLES,M.2,INTEL31165,BRAZ","Card","GKCMD"
"47654","SUBASSY,DVD,8X,I,HLDS,SIDE","Miscellaneous",""
"38743","SUBASSY,PLN,433/L,PGA,WB,0M,U","Motherboards",""
"82218","LBL,REG,NBK,D620,CCC2","Miscellaneous",""
"CG75C","SHP MTL,CNTNR,PET310","Miscellaneous",""
"24232","KIT,SW,OVPK,WXPHSP2,CDWD,RUS","SW","Envelope"
"24772","CORD,PWR,250V,2.5A,1M,C7,KOR","Cable","Envelope"
"91939","KIT,RMT-CNTRL,INLN,FM,MP3","Miscellaneous",""
"RW65R","MOD,ASSY,BASE,SU9400,D,N,E4200","Miscellaneous",""
"T453T","BASE,PTR,LS,DAO,LV,C2665DNF","Base Unit",""
"V687V","ASSY,SPKR,XW,LAT,7350","Miscellaneous","02087_A07"
"96669","SVC,BTRY,59WHR,8CELL,I8000","Battery",""
"CX34C","BZL,LCD,CMRA+MIC+RGB,M4700","Plastics","4U500B"
"5K245","MOD,INFO,RYLTY,PICASSO","Miscellaneous",""
"53945","INSR,BLNK,DUMMY,RDR,N/M5010","Plastics",""
"98139","LBL,REG,NBK,9200,APCC/DAO","Miscellaneous",""
"42954","ASSY,CBL,AV,AIO,2330","Cable","Envelope"
"NW60N","ASSY,TPAD,ANW M14","PAD","02087_A07"
"Y759Y","ASSY,CRD,INTFC,QUAD-T1/E1,4PRT","Card",""
"83168","MOD,SW,ADB,BNDL,SCHI,DIXV","SW",""
"V918V","ASSY,PLMRST,4G,USH,9330#","Palmrest",""
"0F850","SVC,SWT,N3224P-ON,N/OS","PWR CNT",""
"80408","CUS,KYBD,MSE,105,SWI,BLTH","Keyboard/Mouse",""
"N939N","STRG,MEDIA,HDD,500G,RD1000,DAO","Miscellaneous",""
"T839T","ASSY,LCD,15.6FHD,TSP,TPK,SDC","HUD",""
"0K420","DIS,FPL,E198FPB,APCC/CC,CDWN","FPD",""
"R982R","ASSY,HD,6T,NLE12,7.2,3.5,SC280","HDD","H1053"
"KP60K","KIT,MSE,USB,WW,PE,MS116,P,B,EP","Keyboard/Mouse","Envelope"
"75847","BRKT,MTG,CNTL-PNL,T,PE4600","Mechanical",""
"G888G","ASSY,BASE,PTR,SVC,V105,HS,CCC","Base Unit",""
"50555","KIT,MEDIA,DVD,RDVD,OPTI,7040","Miscellaneous",""
"11811","KYBD,104,USB,GRE,NTRY,NMB,BLK","Keyboard/Mouse",""
"XD94X","ASSY,CRD,PLN,MB,ANW-DT,AMD,R14","Motherboards",""
"72517","KIT,MDM,LAN,33.6/10BT,PCMCIA","Modem",""
"1M361","ASSY,PLMRST,79FR-ENG,TP,SLV,BL","Palmrest",""
"82478","KIT,SW,WKS,8.5,ENG","SW","Envelope"
"34343","SRV,DRVR,MDM,DFAX,CHER,DIM","Miscellaneous",""
"31783","KIT,KYBD,LTN/AM,QUANTA,LM/LX","Keyboard/Mouse",""
"8Y918","SCR,10-32XL16.5MM,PNH,WNPL","Mechanical",""
"10981","KIT,SW,SLES,9,SP3,EM64T,2CPU,1","SW",""
"98139","ASSY,PWA,DP,ENTRY,7510","Motherboards","4U500"
"NM36N","MOD,SW,DPK,W8EM32/64","SW",""
"TH48T","PRC,AMD,A4-6300,3.7G","PRC","GKCMD"
"Y088Y","DIMM,2G,800M,256X72,8,240,2RX8","Memory","GKCMD"
"0M770","MOD,THRM,HTSNK,SHRD,DRUID,625","Miscellaneous",""
"15551","SUBASSY,HD,20G,SFX,IBM-CSD,I4K","HDD",""
"C914C","PWA,PLN,T,U,VI7-1185G7,TB,5420","Motherboards","4U500"
"6N416","ASSY,KYBD,PMST,HEB,MN4,MT BL","Keyboard/Mouse",""
"9P319","ASSY,HTSNK,HALO","Heatsink",""
"1D171","ASSY,CVR,BTM,W/BDG,20TH,5520","Cover","4U500B"
"4C594","PWA,CTL,TSN,LCD,NBK,XFR","Controller Card",""
"89328","CUS,DVD+/-RW,8X,IDE,TSST,M1210","Miscellaneous",""
"M888M","ASSY,CRD,BP,2.5N,SEP,V2,C6400","Card",""
"GY42G","KYBD,79,RUS,M20ISC-BS,11","Keyboard/Mouse",""
"33973","SI,925501,IMG,W2K,GX260D,BCC","Miscellaneous",""
"52405","MOD,BZL,LCD,W/,CMRA,5010","LCD",""
"WD48W","MOD,SW,DDPA,2.3.2,OPTI","SW",""
"NF52N","ASSY,PWA,SVI5-63,TC,DTP,728,V3","Motherboards","4U500"
"DR18D","ASSY,DVD+/-RW,8,12.7,HLDS,N14R","Miscellaneous","02087_A07"
"PF20P","ASSY,BASE,64F/4R,7010,8,EN","Base Unit",""
"55865","BTRY,CCC,80WH,9C,LITH,SIMP","Battery",""
"67426","ASSY,CHAS,DT,KLNR,SSS,DIM","Mechanical",""
"NC72N","ASSY,BASE,PTR,SVC,V515WN,US","Base Unit",""
"4N144","OTLT,PDU,MNGD,208V,8.6KW,FH","Miscellaneous",""
"94419","PWR SPLY,PFC,DLTA,ULD,220W,EPA","PWR SPLY","9U307"
"XD18X","DIS,FPL,24W,U2410,BLK,CCC","FPD",""
"82248","PNL,GEAR,DRV,MN,GRD,PLSTC","Mechanical",""
"NT68N","ASSY,PWA,MA-I/O,ALX,A51","Motherboards",""
"69826","ASSY,CDRW/DVD,48X,HH,TSST,01","Miscellaneous","Envelope"
"D835D","MOD,SERV,SMTN,5020F,JPN,ON8X5N","Miscellaneous",""
"DF90D","MYLAR,TOUCHPAD,9570/5530","Miscellaneous","Envelope"
"76277","SVC,PWA,DCY,1.06,2MB,D420,TAA","Motherboards",""
