"SKU","DESCRIPTION","SKU_FAMILY","BOX_CODE"
"J938J","ASSY,HTSNK,NBK,UMA,N4010","Heatsink","1W217"
"1M951","ASSY,CBL,ACC,Q56DD,400G,3M","Cable",""
"RC53R","BZL,ODD,IMR,WHT,TULIP15","Plastics","02087_A07"
"28612","ASSY,BASE,PTR,SVC,110V,3010CN","Base Unit",""
"8J278","CVR,CHG,AMETHYST,PC,USFF,INSP","Cover","4U500B"
"24602","CUS,CDSK,SW,TB,YT,RSP","SW",""
"6X246","DIMM,2GB,1333,SODIMM,DDR3,DX0D","Memory","GKCMD"
"3W623","ASSY,PLMRST,MIN,TC,THAI,BL,C","Palmrest","4U500B"
"XF73X","MOD,KIT,SW,OFCHB-2010,ENG,SEA","SW",""
"W644W","KIT,SW,W7HP32SP1,SCHI","SW","Envelope"
"RR52R","ASSY,CVR,BTM,IGRY,V5590","Cover",""
"60576","SVC,PLN,I3SMB0,2,3546W8.1P","Motherboards",""
"27522","ASSY,KYBD,PLM,BU,A,BL,JPN,N16","Keyboard/Mouse",""
"22172","ASSY,PWA,DTR,LED,CBL,7204","DB","GKCMD"
"28422","MOD,SW,WXPPSP2,INS,POL,NDD,EMF","SW",""
"T472T","ASSY,KYBD,PLMRST,UK,DRAX,RED","Keyboard/Mouse",""
"9E849","SI,SK,CUS,CRD,VID,MTRX,JPN","Card",""
"3M243","ASSY,LCD,6.95,TCH,TOKEN,3741","HUD",""
"PM64P","PRC,X3,400E,2.2,512X3,3C,C2","PRC","GKCMD"
"01450","KIT,SW,OVPK,WXPHSP2A,CDWD,ITL","SW","Envelope"
"0P940","SHP MTL,BOX,LCD,PORT","Miscellaneous",""
"50585","ASSY,CHAS,MSMT,OPTI,745,L6,V3","Mechanical",""
"N070N","ASSY,FRM,DOCK,BCC,E7270","Mechanical",""
"P748P","BASE,NBK,E6430,BRC4","Base Unit",""
"08780","SUBASSY,HD,80G,5.4,SA160,1000","HDD",""
"F343F","SVC,KYBD,104,US,ENG,END3","Keyboard/Mouse",""
"14281","CRD,CTL,ADPT,39160,FW3.10,U160","Card","1W217"
"43884","SUBASSY,HD,80GB,#2,Z60+,DMOD","HDD",""
"2H422","CUS,CTRG,INK,DELL5,M4640,BLK,R","Miscellaneous",""
"FY29F","ASSY,FAN,60X25,12V,PWS,AVALON","FAN",""
"00440","SVC,APR,D/PORT","Miscellaneous",""
"73807","MOD,HD,80GB,8MM,4.2K,T050,XT","HDD",""
"GJ97G","SVC,PLN,PETMNN3530,U3531,W8.1P","Motherboards",""
"X632X","CBL,VIBRATOR,7275,9250","Cable","Envelope"
"XV36X","KIT,INSTL,HW,KMM,BLK,1U","Miscellaneous",""
"1J561","ASSY,CVR,NBK,PNT,BLK,BLK,1737","Cover","4U500B"
"46774","CRD,NTWK,25G,DP,T6225LP,CHEL,Z","Network Card",""
"0R680","PRC,7443P,2.85,MIL,24C,200W,B1","PRC",""
"6R216","KIT,MEDIA,DVD,NSRS,MPWS,M6500","Miscellaneous",""
"53895","TB,40/80G,EXT,HH,PV110T,VS80V3","TBU",""
"W333W","ASSY,HTSNK,UMA,ICL,3520","Heatsink",""
"KK30K","PWA,PLN,U,T,CEL-3865U,3X90","Motherboards","4U500"
"81238","CRD,CTL,MN-PNL,PV136T,V4","Card","1W217"
